--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
demo_image/denoising_frames/frame_0.png	b                        	0.7440
demo_image/denoising_frames/frame_1.png	b                        	0.6598
demo_image/denoising_frames/frame_2.png	b                        	0.7010
demo_image/denoising_frames/frame_3.png	b                        	0.6851
demo_image/denoising_frames/frame_4.png	b                        	0.7302
demo_image/denoising_frames/frame_5.png	b                        	0.7155
demo_image/denoising_frames/frame_6.png	b                        	0.7299
demo_image/denoising_frames/frame_7.png	b                        	0.7052
demo_image/denoising_frames/frame_8.png	b                        	0.7288
demo_image/denoising_frames/frame_9.png	b                        	0.7932
demo_image/denoising_frames/frame_10.png	b                        	0.6547
demo_image/denoising_frames/frame_11.png	b                        	0.7620
demo_image/denoising_frames/frame_12.png	b                        	0.6846
demo_image/denoising_frames/frame_13.png	b                        	0.6882
demo_image/denoising_frames/frame_14.png	b                        	0.7275
demo_image/denoising_frames/frame_15.png	b                        	0.6599
demo_image/denoising_frames/frame_16.png	b                        	0.7493
demo_image/denoising_frames/frame_17.png	b                        	0.6942
demo_image/denoising_frames/frame_18.png	b                        	0.7149
demo_image/denoising_frames/frame_19.png	b                        	0.7797
demo_image/denoising_frames/frame_20.png	b                        	0.7137
demo_image/denoising_frames/frame_21.png	b                        	0.7046
demo_image/denoising_frames/frame_22.png	b                        	0.7054
demo_image/denoising_frames/frame_23.png	b                        	0.7360
demo_image/denoising_frames/frame_24.png	b                        	0.6772
demo_image/denoising_frames/frame_25.png	b                        	0.7199
demo_image/denoising_frames/frame_26.png	b                        	0.6873
demo_image/denoising_frames/frame_27.png	b                        	0.6745
demo_image/denoising_frames/frame_28.png	b                        	0.7377
demo_image/denoising_frames/frame_29.png	b                        	0.7370
demo_image/denoising_frames/frame_30.png	b                        	0.8020
demo_image/denoising_frames/frame_31.png	b                        	0.7369
demo_image/denoising_frames/frame_32.png	b                        	0.7087
demo_image/denoising_frames/frame_33.png	b                        	0.6926
demo_image/denoising_frames/frame_34.png	b                        	0.7020
demo_image/denoising_frames/frame_35.png	b                        	0.7246
demo_image/denoising_frames/frame_36.png	b                        	0.7002
demo_image/denoising_frames/frame_37.png	b                        	0.7059
demo_image/denoising_frames/frame_38.png	b                        	0.7196
demo_image/denoising_frames/frame_39.png	b                        	0.6940
demo_image/denoising_frames/frame_40.png	b                        	0.7058
demo_image/denoising_frames/frame_41.png	b                        	0.6589
demo_image/denoising_frames/frame_42.png	b                        	0.7478
demo_image/denoising_frames/frame_43.png	b                        	0.6488
demo_image/denoising_frames/frame_44.png	b                        	0.7191
demo_image/denoising_frames/frame_45.png	b                        	0.6947
demo_image/denoising_frames/frame_46.png	b                        	0.7737
demo_image/denoising_frames/frame_47.png	b                        	0.7976
demo_image/denoising_frames/frame_48.png	b                        	0.6642
demo_image/denoising_frames/frame_49.png	b                        	0.7410
demo_image/original_frames/frame_0.png	b                        	0.8264
demo_image/original_frames/frame_1.png	be                       	0.3624
demo_image/original_frames/frame_2.png	be                       	0.3502
demo_image/original_frames/frame_3.png	be                       	0.3510
demo_image/original_frames/frame_4.png	be                       	0.3343
demo_image/original_frames/frame_5.png	b                        	0.8226
demo_image/original_frames/frame_6.png	b                        	0.8568
demo_image/original_frames/frame_7.png	b                        	0.8290
demo_image/original_frames/frame_8.png	b                        	0.8425
demo_image/original_frames/frame_9.png	b                        	0.8490
demo_image/original_frames/frame_10.png	be                       	0.3473
demo_image/original_frames/frame_11.png	be                       	0.3323
demo_image/original_frames/frame_12.png	be                       	0.3672
demo_image/original_frames/frame_13.png	be                       	0.3360
demo_image/original_frames/frame_14.png	b                        	0.8261
demo_image/original_frames/frame_15.png	be                       	0.3473
demo_image/original_frames/frame_16.png	be                       	0.3300
demo_image/original_frames/frame_17.png	b                        	0.8278
demo_image/original_frames/frame_18.png	b                        	0.8296
demo_image/original_frames/frame_19.png	b                        	0.8626
demo_image/original_frames/frame_20.png	be                       	0.3251
demo_image/original_frames/frame_21.png	b                        	0.8323
demo_image/original_frames/frame_22.png	b                        	0.8272
demo_image/original_frames/frame_23.png	be                       	0.3452
demo_image/original_frames/frame_24.png	b                        	0.8408
demo_image/original_frames/frame_25.png	b                        	0.8371
demo_image/original_frames/frame_26.png	be                       	0.3531
demo_image/original_frames/frame_27.png	b                        	0.8463
demo_image/original_frames/frame_28.png	b                        	0.8146
demo_image/original_frames/frame_29.png	b                        	0.8449
demo_image/original_frames/frame_30.png	b                        	0.8394
demo_image/original_frames/frame_31.png	be                       	0.3403
demo_image/original_frames/frame_32.png	b                        	0.8545
demo_image/original_frames/frame_33.png	be                       	0.3555
demo_image/original_frames/frame_34.png	b                        	0.8566
demo_image/original_frames/frame_35.png	b                        	0.8489
demo_image/original_frames/frame_36.png	be                       	0.3626
demo_image/original_frames/frame_37.png	b                        	0.8392
demo_image/original_frames/frame_38.png	b                        	0.7945
demo_image/original_frames/frame_39.png	b                        	0.8364
demo_image/original_frames/frame_40.png	b                        	0.8370
demo_image/original_frames/frame_41.png	be                       	0.3530
demo_image/original_frames/frame_42.png	b                        	0.8095
demo_image/original_frames/frame_43.png	be                       	0.3624
demo_image/original_frames/frame_44.png	b                        	0.8570
demo_image/original_frames/frame_45.png	b                        	0.8642
demo_image/original_frames/frame_46.png	b                        	0.8544
demo_image/original_frames/frame_47.png	be                       	0.3404
demo_image/original_frames/frame_48.png	b                        	0.8154
demo_image/original_frames/frame_49.png	b                        	0.8481
